wave,region,state,kind,city,service,root_slug,target_url,source_path,word_count,title
1,Corona & Norco,ready_for_audos_microsite_bind,city_hub,Corona,All Plumbing Services,corona-plumber,https://masterflowplumbing.us/corona-plumber,/seo-preview/locations/corona/,453,"Plumber in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_hub,Norco,All Plumbing Services,norco-plumber,https://masterflowplumbing.us/norco-plumber,/seo-preview/locations/norco/,438,"Plumber in Norco, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Corona,Emergency Plumbing,corona-emergency-plumber,https://masterflowplumbing.us/corona-emergency-plumber,/seo-preview/locations/corona/emergency-plumbing/,604,"Emergency Plumbing in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Norco,Emergency Plumbing,norco-emergency-plumber,https://masterflowplumbing.us/norco-emergency-plumber,/seo-preview/locations/norco/emergency-plumbing/,591,"Emergency Plumbing in Norco, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Corona,Drain Cleaning,corona-drain-cleaning,https://masterflowplumbing.us/corona-drain-cleaning,/seo-preview/locations/corona/drain-cleaning/,606,"Drain Cleaning in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Norco,Drain Cleaning,norco-drain-cleaning,https://masterflowplumbing.us/norco-drain-cleaning,/seo-preview/locations/norco/drain-cleaning/,593,"Drain Cleaning in Norco, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Corona,Leak Detection,corona-leak-detection,https://masterflowplumbing.us/corona-leak-detection,/seo-preview/locations/corona/leak-detection/,590,"Leak Detection in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Norco,Leak Detection,norco-leak-detection,https://masterflowplumbing.us/norco-leak-detection,/seo-preview/locations/norco/leak-detection/,577,"Leak Detection in Norco, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Corona,Sewer Line Repair,corona-sewer-line-repair,https://masterflowplumbing.us/corona-sewer-line-repair,/seo-preview/locations/corona/sewer-line-repair/,606,"Sewer Line Repair in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Norco,Sewer Line Repair,norco-sewer-line-repair,https://masterflowplumbing.us/norco-sewer-line-repair,/seo-preview/locations/norco/sewer-line-repair/,593,"Sewer Line Repair in Norco, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Corona,Water Heater Repair & Install,corona-water-heater-repair,https://masterflowplumbing.us/corona-water-heater-repair,/seo-preview/locations/corona/water-heater-repair-install/,616,"Water Heater Service in Corona, CA | Masterflow"
1,Corona & Norco,ready_for_audos_microsite_bind,city_service,Norco,Water Heater Repair & Install,norco-water-heater-repair,https://masterflowplumbing.us/norco-water-heater-repair,/seo-preview/locations/norco/water-heater-repair-install/,603,"Water Heater Service in Norco, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_hub,Riverside,All Plumbing Services,riverside-plumber,https://masterflowplumbing.us/riverside-plumber,/seo-preview/locations/riverside/,433,"Plumber in Riverside, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_hub,Moreno Valley,All Plumbing Services,moreno-valley-plumber,https://masterflowplumbing.us/moreno-valley-plumber,/seo-preview/locations/moreno-valley/,425,"Plumber in Moreno Valley, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_hub,Perris,All Plumbing Services,perris-plumber,https://masterflowplumbing.us/perris-plumber,/seo-preview/locations/perris/,437,"Plumber in Perris, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_hub,Jurupa Valley,All Plumbing Services,jurupa-valley-plumber,https://masterflowplumbing.us/jurupa-valley-plumber,/seo-preview/locations/jurupa-valley/,425,"Plumber in Jurupa Valley, CA | Masterflow"
